,CPU Name,No. Sockets,Cores,Price,CPU Mark,CPU Value,Thread Mark,Thread Value,TDP (W),Power Performance,Test Date,Socket,Category
152,AMD A8-6500 APU,1,2,$27.80*,"2,822",101.49,"1,473",52.98,65,43.41,Aug 2013,FM2,Desktop
153,AMD A8-6500B APU,1,2,$49.95*,"2,876",57.58,"1,500",30.02,65,44.25,Apr 2014,FM2,Desktop
154,AMD A8-6500T APU,1,2,$59.95*,"1,929",32.18,"1,111",18.53,45,42.87,Mar 2014,FM2,Desktop
155,AMD A8-6600K APU,1,2,$88.02,"3,007",34.17,"1,538",17.47,100,30.07,Jun 2013,FM2,Desktop
156,AMD A8-7050,1,2,NA,"1,152",NA,945,NA,15,76.77,Jan 2016,Unknown,Laptop
157,AMD A8-7100 APU,1,4,NA,"1,638",NA,840,NA,19,86.22,Aug 2014,FP3,Laptop
158,AMD A8-7200P,1,4,NA,"2,154",NA,"1,054",NA,35,61.55,Jul 2015,FP3,Laptop
159,AMD A8-7410 APU,1,4,NA,"1,816",NA,805,NA,25,72.64,Jun 2015,Unknown,Laptop
160,AMD A8-7500,1,2,NA,"3,425",NA,"1,403",NA,65,52.69,Jun 2016,FM2+,Desktop
161,AMD A8-7600 APU,1,2,$29.99,"3,215",107.19,"1,447",48.26,65,49.46,Jul 2014,FM2+,Desktop
162,AMD A8-7650K,1,2,$37.99*,"3,129",82.35,"1,405",36.98,65,48.13,Feb 2015,FM2+,Desktop
163,AMD A8-7670K,1,4,$248.65,"3,192",12.84,"1,485",5.97,95,33.60,Sep 2015,FM2+,Desktop
164,AMD A8-7680,1,4,$36.73*,"3,544",96.50,"1,619",44.07,45,78.77,Jan 2019,FM2+,Laptop
165,AMD A8-7690K,1,4,NA,"2,157",NA,"1,441",NA,95,22.71,May 2023,FM2+,Desktop
166,AMD A8-8600P,1,2,NA,"2,240",NA,"1,103",NA,15,149.33,Aug 2015,FP4,Laptop
167,AMD A8-8650,1,4,NA,"2,996",NA,"1,483",NA,65,46.08,Nov 2015,FM2+,Desktop
168,AMD A8-9600,1,4,$112.49*,"3,304",29.37,"1,487",13.22,65,50.83,Apr 2017,AM4,Desktop
169,AMD A9-9400,1,2,NA,"1,363",NA,"1,230",NA,10,136.27,Dec 2016,FP4,Laptop
170,AMD A9-9410,1,2,NA,"1,523",NA,"1,338",NA,25,60.94,Jul 2016,FP4,Laptop
171,AMD A9-9420,1,2,NA,"1,501",NA,"1,296",NA,15,100.06,Aug 2017,Unknown,Laptop
