,CPU Name,Predicted CPU Mark,Actual CPU Mark,Accuracy (%)
66,AMD Ryzen 5 5600GT,23322.786,20258,73.85159010600707
67,AMD Ryzen 7 8840HS,22549.557,24603,73.85159010600707
68,[Dual CPU] Intel Xeon 5150 @ 2.66GHz,1464.8555,2043,73.85159010600707
69,Intel Pentium Gold G6400E @ 3.80GHz,5698.509,3908,73.85159010600707
70,Intel Xeon D-1557 @ 1.50GHz,7744.2705,9285,73.85159010600707
71,[Quad CPU] AMD Opteron 8356,5777.2225,5397,73.85159010600707
72,Intel Pentium G2020T @ 2.50GHz,1503.6155,1430,73.85159010600707
73,Intel Core i3-4158U @ 2.00GHz,1528.376,1921,73.85159010600707
74,Intel Xeon E3-1286L v3 @ 3.20GHz,7360.5955,6929,73.85159010600707
75,Intel Atom x6414RE @ 1.50GHz,1063.795,1544,73.85159010600707
76,Intel Pentium G645 @ 2.90GHz,1327.306,1418,73.85159010600707
77,Intel Core2 Duo T6670 @ 2.20GHz,902.5785,818,73.85159010600707
78,Intel Core i5-3437U @ 1.90GHz,2699.9835,2301,73.85159010600707
79,Intel Pentium Gold G5620 @ 4.00GHz,5215.6215,4272,73.85159010600707
80,Intel Xeon E5-2650 @ 2.00GHz,7668.167,7375,73.85159010600707
81,AMD A4-6250J APU,1302.9445,1656,73.85159010600707
82,AMD Opteron 275,368.478,839,73.85159010600707
83,Intel Core i7-9850HL @ 1.90GHz,5998.209,7897,73.85159010600707
84,Intel Xeon X5679 @ 3.20GHz,7400.5835,7095,73.85159010600707
85,AMD Ryzen Threadripper 3970X,62702.189,63106,73.85159010600707
86,AMD Athlon II N330 Dual-Core,683.2925,665,73.85159010600707
87,Intel Core i3-4030Y @ 1.60GHz,1252.2405,1654,73.85159010600707
88,[Dual CPU] AMD Opteron 6328,9139.428,9508,73.85159010600707
89,AMD PRO A12-8870,4249.1115,3869,73.85159010600707
90,Intel Xeon D-2795NT @ 2.00GHz,31151.344,28463,73.85159010600707
91,Intel Pentium 957 @ 1.20GHz,589.199,622,73.85159010600707
92,Intel Core i7-4790 @ 3.60GHz,7252.1255,7270,73.85159010600707
93,Intel Pentium E5500 @ 2.80GHz,1105.8455,1037,73.85159010600707
94,AMD Opteron 4130,2390.9695,2347,73.85159010600707
95,AMD EPYC 9354P,71275.3085,76605,73.85159010600707
96,Intel Pentium J2850 @ 2.41GHz,928.242,1016,73.85159010600707
97,AMD A8-6500B APU,2992.099,2876,73.85159010600707
98,Intel N97,6356.436,5819,73.85159010600707
99,Intel Core i5-6442EQ @ 1.90GHz,3216.6545,4487,73.85159010600707
100,AMD EPYC 7F52,42053.1615,40251,73.85159010600707
101,Intel Core Solo U1500 @ 1.33GHz,231.207,164,73.85159010600707
102,Intel Core i5-14400,17569.3955,25796,73.85159010600707
103,Intel Xeon 5120 @ 1.86GHz,895.3415,763,73.85159010600707
104,AMD A10-7800 APU,2987.1875,3208,73.85159010600707
105,Intel Xeon E5607 @ 2.27GHz,2040.068,2686,73.85159010600707
106,Intel Xeon X3430 @ 2.40GHz,1807.0,2293,73.85159010600707
107,Intel Celeron N4100 @ 1.10GHz,2137.0625,2454,73.85159010600707
108,VIA Nano L2100@1800MHz,145.7425,279,73.85159010600707
109,Intel Xeon Gold 6248 @ 2.50GHz,27552.8,29831,73.85159010600707
110,AMD EPYC 7713,86217.045,82666,73.85159010600707
111,AMD Ryzen 5 7530U,19168.343,16075,73.85159010600707
112,AMD C-30,184.3995,178,73.85159010600707
113,AMD Ryzen 9 5900HS Creator Edition,18407.6505,22138,73.85159010600707
114,[Dual CPU] Intel Xeon E7- 4807 @ 1.87GHz,3564.5315,6223,73.85159010600707
115,AMD FX-8370 Eight-Core,6184.8765,6171,73.85159010600707
116,Intel Pentium G3240T @ 2.70GHz,1744.246,1630,73.85159010600707
117,Intel Pentium G4400T @ 2.90GHz,2662.674,2345,73.85159010600707
118,Intel Core i5-1145G7 @ 2.60GHz,15560.2345,9800,73.85159010600707
119,AMD Turion II Ultra Dual-Core Mobile M640,1173.7025,1034,73.85159010600707
120,Intel Core i3-2312M @ 2.10GHz,1154.474,1128,73.85159010600707
121,AMD Ryzen Threadripper 2920X,23606.069,25427,73.85159010600707
122,Intel Core i7-5850EQ @ 2.70GHz,7139.471,7036,73.85159010600707
123,[Dual CPU] Intel Xeon 3.40GHz,704.091,843,73.85159010600707
124,Intel Core i5-10310U @ 1.70GHz,8955.091,6434,73.85159010600707
125,AMD Opteron 3380,4408.7515,4134,73.85159010600707
126,Intel Core i5-4300M @ 2.60GHz,3024.998,2970,73.85159010600707
127,Intel Core Duo T2400 @ 1.83GHz,338.546,362,73.85159010600707
128,Intel Celeron 2002E @ 1.50GHz,1068.6245,1091,73.85159010600707
129,AMD GX-218GL SOC,740.889,754,73.85159010600707
130,[Dual CPU] Intel Xeon Gold 6254 @ 3.10GHz,53053.3305,53981,73.85159010600707
131,Intel Core i7-12700,31046.7325,30788,73.85159010600707
132,Intel Xeon E5-4667 v4 @ 2.20GHz,21086.224,20319,73.85159010600707
133,AMD Ryzen 5 PRO 7530U,15354.2065,15015,73.85159010600707
134,Intel Xeon E5-2699 v3 @ 2.30GHz,18891.9925,20316,73.85159010600707
135,[Dual CPU] Intel Xeon Gold 6548Y+,76697.595,85587,73.85159010600707
