CPU Name,Predicted CPU Mark,Actual CPU Mark,Accuracy (%)
AMD Ryzen 5 Pro 7535U,17522.43,17547,69.84687868080094
Intel Xeon L3360 @ 2.83GHz,2713.59,2412,69.84687868080094
Intel Core i7-940 @ 2.93GHz,2971.78,2947,69.84687868080094
Intel Xeon Silver 4215 @ 2.50GHz,15150.65,14439,69.84687868080094
AMD Turion II Dual-Core Mobile M540,918.76,912,69.84687868080094
Intel Xeon E5-2678 v3 @ 2.50GHz,14714.21,14712,69.84687868080094
Intel Xeon Silver 4215R @ 3.20GHz,15087.08,15004,69.84687868080094
[Dual CPU] AMD EPYC 7702,90871.36,94529,69.84687868080094
Intel Core i7-7700HQ @ 2.80GHz,6534.11,6908,69.84687868080094
Intel Core i3-6100H @ 2.70GHz,2696.87,3041,69.84687868080094
AMD Ryzen 7 5800U,18324.01,18424,69.84687868080094
Intel Xeon E-2378G @ 2.80GHz,21919.01,21153,69.84687868080094
AMD Ryzen 5 3580U,7084.84,7271,69.84687868080094
Intel Celeron 215 @ 1.33GHz,186.81,174,69.84687868080094
Intel Xeon D-1540 @ 2.00GHz,9569.0,10061,69.84687868080094
Intel Xeon E5-2448L v2 @ 1.80GHz,7220.14,6774,69.84687868080094
Intel Core i5-9600KF @ 3.70GHz,12323.08,10680,69.84687868080094
AMD A4-3310MX APU,736.76,782,69.84687868080094
Dual-Core AMD Opteron 1220 SE,742.1,748,69.84687868080094
AMD Opteron 150,364.5,393,69.84687868080094
Intel Core i7-2600K @ 3.40GHz,5343.64,5489,69.84687868080094
Intel U300,9741.61,8355,69.84687868080094
[Dual CPU] Intel Xeon Gold 6354 @ 3.00GHz,62777.69,64487,69.84687868080094
Intel Xeon E5-4610 @ 2.40GHz,6737.46,6460,69.84687868080094
Intel Core i3-8145UE @ 2.20GHz,4962.32,4099,69.84687868080094
Intel Xeon Gold 6538N,43232.84,44895,69.84687868080094
Intel Pentium N3530 @ 2.16GHz,1340.76,1189,69.84687868080094
Intel Xeon Gold 6330N @ 2.20GHz,36385.79,36360,69.84687868080094
AMD 3020e,2748.56,2448,69.84687868080094
Intel Xeon D-2796TE @ 2.00GHz,28002.07,26342,69.84687868080094
AMD Phenom II X4 900e,1721.44,1505,69.84687868080094
[Quad CPU] Intel Xeon X7550 @ 2.00GHz,13323.04,14723,69.84687868080094
AMD Ryzen 7 PRO 4750GE,19068.22,18465,69.84687868080094
[Dual CPU] Intel Xeon E5504 @ 2.00GHz,3152.59,3305,69.84687868080094
Intel Core i9-7920X @ 2.90GHz,23464.27,23680,69.84687868080094
Intel Xeon E5-1680 v3 @ 3.20GHz,13037.7,13108,69.84687868080094
AMD Opteron 6164 HE,2782.92,3478,69.84687868080094
Intel Xeon E5-4627 v2 @ 3.30GHz,10041.21,9320,69.84687868080094
[Quad CPU] Intel Xeon E5-2420 @ 1.90GHz,3822.45,3065,69.84687868080094
AMD Athlon X4 860K,3406.53,3432,69.84687868080094
[Dual CPU] Intel Xeon Gold 6136 @ 3.00GHz,34422.87,35966,69.84687868080094
Intel Core i5-10500 @ 3.10GHz,14396.98,13318,69.84687868080094
Intel Xeon E-2278GEL @ 2.00GHz,13252.5,12024,69.84687868080094
Intel Celeron N2815 @ 1.86GHz,551.65,495,69.84687868080094
Intel Xeon W-1290P @ 3.70GHz,22317.78,22435,69.84687868080094
Intel Core i3-4160T @ 3.10GHz,3132.38,3112,69.84687868080094
AMD Athlon II X2 245,1107.18,1110,69.84687868080094
Intel Xeon E5-2620 @ 2.00GHz,5608.55,5291,69.84687868080094
AMD Ryzen Threadripper 1920X,23307.57,23086,69.84687868080094
Intel Atom x5-E3930 @ 1.30GHz,703.51,928,69.84687868080094
Intel Xeon E5-2670 @ 2.60GHz,9234.45,8956,69.84687868080094
Intel Core i5-9500TE @ 2.20GHz,10572.98,9861,69.84687868080094
AMD A10-6700 APU,3812.21,3104,69.84687868080094
Intel Core i7-4700MQ @ 2.40GHz,5394.62,5345,69.84687868080094
Intel Core i9-10900KF @ 3.70GHz,22451.5,22536,69.84687868080094
Intel Atom C2358 @ 1.74GHz,452.9,578,69.84687868080094
AMD Athlon 64 FX-57,436.44,517,69.84687868080094
Intel Core i3-10300T @ 3.00GHz,8332.8,7975,69.84687868080094
[Dual CPU] Intel Xeon X5672 @ 3.20GHz,8522.48,8825,69.84687868080094
AMD Ryzen 3 5300G,11903.61,12913,69.84687868080094
Intel Xeon Bronze 3104 @ 1.70GHz,4858.17,4437,69.84687868080094
Intel Atom N550 @ 1.50GHz,344.85,283,69.84687868080094
[Dual CPU] AMD EPYC 9224,84388.22,92938,69.84687868080094
Intel Pentium D 915 @ 2.80GHz,599.16,465,69.84687868080094
Intel Core i3-3240T @ 2.90GHz,2022.13,2037,69.84687868080094
AMD Phenom II X4 B99,2916.86,2536,69.84687868080094
AMD A8-7680,4058.81,3544,69.84687868080094
[Dual CPU] Intel Xeon Gold 5416S,55558.54,62325,69.84687868080094
Intel Core i7-5850HQ @ 2.70GHz,7377.1,6866,69.84687868080094
Intel Pentium 4405Y @ 1.50GHz,1202.32,1526,69.84687868080094
Intel Core2 Duo P9600 @ 2.53GHz,1138.65,1040,69.84687868080094
AMD A4-7300 APU,1529.76,1529,69.84687868080094
Intel Celeron B810 @ 1.60GHz,766.51,775,69.84687868080094
AMD Turion X2 Dual Core L510,551.08,603,69.84687868080094
AMD Athlon II X2 240e,1030.73,987,69.84687868080094
Intel Core i5-8279U @ 2.40GHz,8457.43,7465,69.84687868080094
Intel Core i7-4900MQ @ 2.80GHz,6315.42,6117,69.84687868080094
Intel Pentium D 950 @ 3.40GHz,636.22,681,69.84687868080094
[Dual CPU] Intel Xeon E5345 @ 2.33GHz,3706.2,3458,69.84687868080094
Intel Core2 Duo T9500 @ 2.60GHz,1082.38,1046,69.84687868080094
Intel Core i3-10100 @ 3.60GHz,8745.61,8651,69.84687868080094
[Dual CPU] AMD EPYC 7F32,34853.02,39712,69.84687868080094
[Dual CPU] Intel Xeon L5410 @ 2.33GHz,4894.16,3974,69.84687868080094
Intel Celeron G4900T @ 2.90GHz,2343.04,2239,69.84687868080094
Intel Xeon W-2125 @ 4.00GHz,8295.18,10027,69.84687868080094
Athlon Dual Core 4050e,609.56,670,69.84687868080094
Intel Core i5-7600K @ 3.80GHz,7269.26,6807,69.84687868080094
