CPU Name,No. Sockets,Cores,CPU Mark,Thread Mark,TDP (W),Power Performance,Category
Intel Core i5-8400T @ 1.70GHz,1,6,7439,1919,35,212.54,Desktop
Intel Core i5-8500 @ 3.00GHz,1,6,9548,2455,65,146.89,Desktop
Intel Core i5-8500B @ 3.00GHz,1,6,8944,2540,65,137.6,Laptop
Intel Core i5-8500T @ 2.10GHz,1,6,7719,2011,35,220.54,Desktop
Intel Core i5-8600 @ 3.10GHz,1,6,9961,2580,65,153.25,Desktop
Intel Core i5-8600K @ 3.60GHz,1,6,10196,2591,95,107.33,Desktop
Intel Core i5-8600T @ 2.30GHz,1,6,9340,2281,35,266.86,Desktop
Intel Core i5-9300H @ 2.40GHz,1,4,7578,2290,45,168.4,Laptop
Intel Core i5-9300HF @ 2.40GHz,1,4,7322,2281,45,162.71,Laptop
Intel Core i5-9400 @ 2.90GHz,1,6,9374,2436,65,144.22,Desktop
Intel Core i5-9400F @ 2.90GHz,1,6,9467,2436,65,145.65,"Desktop, Laptop"
Intel Core i5-9400H @ 2.50GHz,1,4,7912,2408,45,175.82,Laptop
Intel Core i5-9400T @ 1.80GHz,1,6,8358,2115,35,238.8,Desktop
Intel Core i5-9500 @ 3.00GHz,1,6,9805,2573,65,150.85,Desktop
Intel Core i5-9500F @ 3.00GHz,1,6,10031,2601,65,154.32,Desktop
Intel Core i5-9500T @ 2.20GHz,1,6,8201,2163,35,234.31,Desktop
Intel Core i5-9500TE @ 2.20GHz,1,6,9861,2370,35,281.74,Laptop
Intel Core i5-9600 @ 3.10GHz,1,6,10417,2740,65,160.26,Desktop
Intel Core i5-9600K @ 3.70GHz,1,6,10671,2739,95,112.33,Desktop
Intel Core i5-9600KF @ 3.70GHz,1,6,10680,2739,95,112.42,Desktop
Intel Core i5-9600T @ 2.30GHz,1,6,9620,2425,35,274.86,Desktop
Intel Core i5-L16G7 @ 1.40GHz,1,5,3386,1612,7,483.71,Laptop
Intel Core i7-10510U @ 1.80GHz,1,4,6587,2289,15,439.13,Laptop
Intel Core i7-10510Y @ 1.20GHz,1,4,4905,1895,7,700.71,Laptop
Intel Core i7-1060NG7 @ 1.20GHz,1,4,6521,1857,10,652.1,Laptop
Intel Core i7-10610U @ 1.80GHz,1,4,6701,2259,15,446.73,Laptop
Intel Core i7-1065G7 @ 1.30GHz,1,4,8295,2319,15,553,Laptop
Intel Core i7-1068NG7 @ 2.30GHz,1,4,9264,2332,28,330.86,Laptop
Intel Core i7-10700 @ 2.90GHz,1,8,16412,2906,65,252.49,Desktop
Intel Core i7-10700E @ 2.90GHz,1,8,16599,2882,65,255.37,"Laptop, Mobile/Embedded"
Intel Core i7-10700F @ 2.90GHz,1,8,16429,2878,65,252.75,Desktop
Intel Core i7-10700K @ 3.80GHz,1,8,18792,3052,125,150.34,Desktop
Intel Core i7-10700KF @ 3.80GHz,1,8,18595,3043,125,148.76,Desktop
Intel Core i7-10700T @ 2.00GHz,1,8,12829,2582,35,366.54,Desktop
Intel Core i7-10700TE @ 2.00GHz,1,8,13368,2594,35,381.94,Laptop
Intel Core i7-10710U @ 1.10GHz,1,6,9591,2346,15,639.4,Laptop
Intel Core i7-10750H @ 2.60GHz,1,6,11865,2656,45,263.67,Laptop
Intel Core i7-10810U @ 1.10GHz,1,6,8165,2274,15,544.33,Laptop
Intel Core i7-10850H @ 2.70GHz,1,6,11826,2691,45,262.8,Laptop
Intel Core i7-10870H @ 2.20GHz,1,8,14434,2668,45,320.76,Laptop
Intel Core i7-10875H @ 2.30GHz,1,8,14907,2732,45,331.27,Laptop
Intel Core i7-11370H @ 3.30GHz,1,4,11688,2935,35,333.94,Laptop
Intel Core i7-11375H @ 3.30GHz,1,4,11819,2959,35,337.69,Laptop
Intel Core i7-11390H @ 3.40GHz,1,4,9946,2872,35,284.17,Laptop
Intel Core i7-11600H @ 2.90GHz,1,6,16685,3106,45,370.78,Laptop
Intel Core i7-1165G7 @ 2.80GHz,1,4,10195,2804,15,679.67,Laptop
Intel Core i7-11700 @ 2.50GHz,1,8,19742,3117,95,207.81,Desktop
Intel Core i7-11700B @ 3.20GHz,1,8,22520,3319,65,346.46,Desktop
Intel Core i7-11700F @ 2.50GHz,1,8,20997,3283,65,323.03,Desktop
Intel Core i7-11700K @ 3.60GHz,1,8,24602,3404,125,196.82,Desktop
Intel Core i7-11700KF @ 3.60GHz,1,8,23963,3383,125,191.7,Desktop
Intel Core i7-11700T @ 1.40GHz,1,8,15360,2909,35,438.86,Desktop
Intel Core i7-11800H @ 2.30GHz,1,8,20472,3076,45,454.93,Laptop
Intel Core i7-1180G7 @ 1.30GHz,1,4,8293,2490,15,552.87,Laptop
Intel Core i7-11850H @ 2.50GHz,1,8,20528,3116,45,456.18,Laptop
Intel Core i7-11850HE @ 2.60GHz,1,8,18899,3001,35,539.97,Mobile/Embedded
Intel Core i7-1185G7 @ 3.00GHz,1,4,10386,2811,15,692.4,Laptop
Intel Core i7-1185G7E @ 2.80GHz,1,4,10256,2621,15,683.73,"Laptop, Mobile/Embedded"
Intel Core i7-1185GRE @ 2.80GHz,1,4,8179,2286,15,545.27,Mobile/Embedded
Intel Core i7-1195G7 @ 2.90GHz,1,4,10744,3011,28,383.71,Laptop
Intel Core i7-1250U,1,10,11722,2748,9,1302.44,Laptop
Intel Core i7-1255U,1,10,13634,3271,15,908.93,Laptop
Intel Core i7-1260P,1,12,17044,3294,28,608.71,Laptop
Intel Core i7-1260U,1,10,14127,3181,9,1569.67,Laptop
Intel Core i7-12650H,1,10,22600,3590,45,502.22,Laptop
Intel Core i7-12650HX,1,14,20612,2457,55,374.76,"Laptop, Mobile/Embedded"
Intel Core i7-1265U,1,10,13803,3193,15,920.2,"Laptop, Mobile/Embedded"
Intel Core i7-1265UE,1,10,9471,2582,28,338.25,"Laptop, Mobile/Embedded"
Intel Core i7-12700,1,12,30788,3911,65,473.66,Desktop
Intel Core i7-12700E,1,12,29384,3777,65,452.06,"Desktop, Mobile/Embedded"
Intel Core i7-12700F,1,12,30648,3872,65,471.51,Desktop
Intel Core i7-12700H,1,14,26169,3585,45,581.53,Laptop
Intel Core i7-12700K,1,12,34607,4030,190,182.14,Desktop
Intel Core i7-12700KF,1,12,34380,4012,190,180.95,Desktop
Intel Core i7-12700T,1,12,21536,3632,35,615.31,Desktop
Intel Core i7-12700TE,1,12,17189,2875,35,491.11,"Laptop, Mobile/Embedded"
Intel Core i7-1270P,1,12,17406,3402,28,621.64,Laptop
Intel Core i7-1270PE,1,12,17960,3715,28,641.43,Mobile/Embedded
Intel Core i7-12800H,1,14,24808,3482,45,551.29,Laptop
Intel Core i7-12800HE,1,14,29805,3313,45,662.33,Mobile/Embedded
Intel Core i7-12800HX,1,16,32208,3737,55,585.6,Laptop
Intel Core i7-1280P,1,14,20368,3320,28,727.43,Laptop
Intel Core i7-12850HX,1,16,30651,3710,55,557.29,Laptop
Intel Core i7-1355U,1,10,14862,3521,15,990.8,Laptop
Intel Core i7-1360P,1,12,19163,3537,28,684.39,Laptop
Intel Core i7-13620H,1,10,25065,3687,45,557,Laptop
Intel Core i7-13650HX,1,14,31418,3820,55,571.24,Laptop
Intel Core i7-1365U,1,10,14857,3548,15,990.47,Laptop
Intel Core i7-1365URE,1,10,10278,3078,15,685.2,Mobile/Embedded
Intel Core i7-13700,1,16,37037,4129,65,569.8,Desktop
Intel Core i7-13700E,1,16,34728,3272,65,534.28,Mobile/Embedded
Intel Core i7-13700F,1,16,38845,4126,65,597.62,Desktop
Intel Core i7-13700H,1,14,27286,3644,45,606.36,Laptop
Intel Core i7-13700HX,1,16,33707,3875,55,612.85,Laptop
Intel Core i7-13700K,1,16,46470,4361,125,371.76,Desktop
Intel Core i7-13700KF,1,16,46298,4356,125,370.38,Desktop
Intel Core i7-13700T,1,16,27233,3877,35,778.09,Desktop
Intel Core i7-13700TE,1,16,23074,3228,35,659.26,Laptop
Intel Core i7-13705H,1,14,23662,3477,45,525.82,Laptop
Intel Core i7-1370P,1,14,20193,3552,28,721.18,Laptop
Intel Core i7-1370PRE,1,14,14103,1583,28,503.68,Mobile/Embedded
Intel Core i7-13790F,1,16,46309,4159,65,712.45,Desktop
Intel Core i7-13800H,1,14,27122,3586,45,602.71,Laptop
Intel Core i7-13800HRE,1,14,9781,1437,45,217.36,Mobile/Embedded
Intel Core i7-13850HX,1,20,37987,3844,55,690.67,Laptop
Intel Core i7-14650HX,1,16,36699,3968,157,233.75,Laptop
Intel Core i7-14700,1,20,43659,4217,65,671.68,Desktop
Intel Core i7-14700F,1,20,44088,4317,65,678.28,Desktop
Intel Core i7-14700HX,1,20,37139,3950,55,675.25,Laptop
Intel Core i7-14700K,1,20,53362,4474,125,426.9,Desktop
Intel Core i7-14700KF,1,20,53194,4475,125,425.55,Desktop
Intel Core i7-14700T,1,20,31416,3819,35,897.6,Desktop
Intel Core i7-2600 @ 3.40GHz,1,4,5348,1741,95,56.29,Desktop
Intel Core i7-2600K @ 3.40GHz,1,4,5489,1745,95,57.78,Desktop
Intel Core i7-2600S @ 2.80GHz,1,4,4628,1733,65,71.2,Desktop
Intel Core i7-2610UE @ 1.50GHz,1,2,1409,972,17,82.88,Laptop
Intel Core i7-2617M @ 1.50GHz,1,2,1687,1092,17,99.24,Laptop
Intel Core i7-2620M @ 2.70GHz,1,2,2423,1459,35,69.23,Laptop
Intel Core i7-2630QM @ 2.00GHz,1,4,3553,1226,45,78.96,Laptop
Intel Core i7-2635QM @ 2.00GHz,1,4,3406,1206,45,75.69,Laptop
Intel Core i7-2637M @ 1.70GHz,1,2,1854,1144,17,109.06,Laptop
Intel Core i7-2640M @ 2.80GHz,1,2,2465,1496,35,70.43,Laptop
Intel Core i7-2655LE @ 2.20GHz,1,2,1999,1231,25,79.96,Desktop
Intel Core i7-2670QM @ 2.20GHz,1,4,3737,1311,45,83.04,Laptop
Intel Core i7-2675QM @ 2.20GHz,1,4,3828,1288,45,85.07,Laptop
Intel Core i7-2677M @ 1.80GHz,1,2,1912,1260,17,112.47,Laptop
Intel Core i7-2700K @ 3.50GHz,1,4,5744,1823,95,60.46,Desktop
Intel Core i7-2710QE @ 2.10GHz,1,4,4044,1393,45,89.87,Laptop
Intel Core i7-2715QE @ 2.10GHz,1,4,3221,1287,45,71.58,Laptop
Intel Core i7-2720QM @ 2.20GHz,1,4,4000,1368,45,88.89,Laptop
Intel Core i7-2760QM @ 2.40GHz,1,4,4373,1534,45,97.18,Laptop
Intel Core i7-2820QM @ 2.30GHz,1,4,4385,1488,45,97.44,Laptop
Intel Core i7-2860QM @ 2.50GHz,1,4,4521,1549,45,100.47,Laptop
Intel Core i7-2920XM @ 2.50GHz,1,4,4240,1426,55,77.09,Laptop
Intel Core i7-2960XM @ 2.70GHz,1,4,4754,1598,55,86.44,Laptop
Intel Core i7-3517U @ 1.90GHz,1,2,2083,1328,17,122.53,Laptop
Intel Core i7-3517UE @ 1.70GHz,1,2,2384,1433,17,140.24,Laptop
Intel Core i7-3520M @ 2.90GHz,1,2,2867,1742,35,81.91,Laptop
Intel Core i7-3537U @ 2.00GHz,1,2,2337,1441,17,137.47,Laptop
Intel Core i7-3540M @ 3.00GHz,1,2,2977,1791,35,85.06,Laptop
Intel Core i7-3555LE @ 2.50GHz,1,2,2238,1336,25,89.52,Laptop
Intel Core i7-3610QE @ 2.30GHz,1,4,5026,1582,45,111.69,Laptop
Intel Core i7-3610QM @ 2.30GHz,1,4,5119,1665,45,113.76,Laptop
Intel Core i7-3612QE @ 2.10GHz,1,4,4929,1678,35,140.83,Laptop
Intel Core i7-3612QM @ 2.10GHz,1,4,4655,1536,35,133,Laptop
Intel Core i7-3615QE @ 2.30GHz,1,4,5601,1802,45,124.47,Laptop
Intel Core i7-3615QM @ 2.30GHz,1,4,5188,1706,45,115.29,Laptop
Intel Core i7-3630QM @ 2.40GHz,1,4,5116,1685,45,113.69,Laptop
Intel Core i7-3632QM @ 2.20GHz,1,4,4697,1585,35,134.2,Laptop
Intel Core i7-3635QM @ 2.40GHz,1,4,4816,1702,45,107.02,Laptop
Intel Core i7-3667U @ 2.00GHz,1,2,2422,1508,17,142.47,Laptop
Intel Core i7-3687U @ 2.10GHz,1,2,2645,1598,17,155.59,Laptop
Intel Core i7-3689Y @ 1.50GHz,1,2,1967,1209,13,151.31,Laptop
Intel Core i7-3720QM @ 2.60GHz,1,4,5667,1866,45,125.93,Laptop
Intel Core i7-3740QM @ 2.70GHz,1,4,5699,1876,45,126.64,Laptop
Intel Core i7-3770 @ 3.40GHz,1,4,6412,2073,77,83.27,Desktop
Intel Core i7-3770K @ 3.50GHz,1,4,6462,2071,77,83.92,Desktop
Intel Core i7-3770S @ 3.10GHz,1,4,6178,2039,65,95.05,Desktop
Intel Core i7-3770T @ 2.50GHz,1,4,5444,1830,45,120.98,Desktop
Intel Core i7-3820 @ 3.60GHz,1,4,5763,1744,130,44.33,Desktop
Intel Core i7-3820QM @ 2.70GHz,1,4,5630,1865,45,125.11,Laptop
Intel Core i7-3840QM @ 2.80GHz,1,4,5920,1934,45,131.56,Laptop
Intel Core i7-3920XM @ 2.90GHz,1,4,5710,1916,55,103.82,Laptop
Intel Core i7-3930K @ 3.20GHz,1,6,8205,1747,130,63.12,Desktop
Intel Core i7-3940XM @ 3.00GHz,1,4,5830,1919,55,106,Laptop
Intel Core i7-3960X @ 3.30GHz,1,6,8446,1800,130,64.97,Desktop
Intel Core i7-3970X @ 3.50GHz,1,6,8541,1850,150,56.94,Desktop
Intel Core i7-4500U @ 1.80GHz,1,2,2481,1489,15,165.4,Laptop
Intel Core i7-4510U @ 2.00GHz,1,2,2592,1538,15,172.8,Laptop
Intel Core i7-4550U @ 1.50GHz,1,2,2272,1290,15,151.47,Laptop
Intel Core i7-4558U @ 2.80GHz,1,2,3013,1841,28,107.61,Laptop
Intel Core i7-4578U @ 3.00GHz,1,2,3100,1932,28,110.71,Laptop
Intel Core i7-4600M @ 2.90GHz,1,2,3186,1857,37,86.11,Laptop
Intel Core i7-4600U @ 2.10GHz,1,2,2713,1653,15,180.87,Laptop
Intel Core i7-4610M @ 3.00GHz,1,2,3217,1875,37,86.95,Laptop
Intel Core i7-4610Y @ 1.70GHz,1,2,2446,1583,11.5,212.7,Desktop
Intel Core i7-4650U @ 1.70GHz,1,2,2456,1569,15,163.73,Laptop
Intel Core i7-4700EQ @ 2.40GHz,1,4,5417,1765,47,115.26,Desktop
Intel Core i7-4700HQ @ 2.40GHz,1,4,5631,1793,47,119.81,Laptop
Intel Core i7-4700MQ @ 2.40GHz,1,4,5345,1760,47,113.72,Laptop
Intel Core i7-4702HQ @ 2.20GHz,1,4,5339,1633,37,144.3,Laptop
Intel Core i7-4702MQ @ 2.20GHz,1,4,5183,1703,37,140.08,Laptop
Intel Core i7-4710HQ @ 2.50GHz,1,4,5534,1780,47,117.74,Laptop
Intel Core i7-4710MQ @ 2.50GHz,1,4,5844,1893,47,124.34,Laptop
Intel Core i7-4712HQ @ 2.30GHz,1,4,5352,1727,37,144.65,Laptop
Intel Core i7-4712MQ @ 2.30GHz,1,4,5299,1805,37,143.22,Laptop
Intel Core i7-4720HQ @ 2.60GHz,1,4,5769,1870,47,122.74,Laptop
Intel Core i7-4722HQ @ 2.40GHz,1,4,5620,1844,37,151.89,Laptop
Intel Core i7-4750HQ @ 2.00GHz,1,4,5693,1748,47,121.13,Laptop
Intel Core i7-4760HQ @ 2.10GHz,1,4,6300,1944,47,134.04,Laptop
Intel Core i7-4765T @ 2.00GHz,1,4,5127,1629,35,146.49,Desktop
Intel Core i7-4770 @ 3.40GHz,1,4,7058,2169,84,84.02,Desktop
Intel Core i7-4770HQ @ 2.20GHz,1,4,6074,1916,47,129.23,Laptop
Intel Core i7-4770K @ 3.50GHz,1,4,7130,2162,84,84.88,Desktop
Intel Core i7-4770R @ 3.20GHz,1,4,6620,2179,65,101.85,Desktop
Intel Core i7-4770S @ 3.10GHz,1,4,6747,2123,65,103.8,Desktop
Intel Core i7-4770T @ 2.50GHz,1,4,5973,1931,45,132.73,Desktop
Intel Core i7-4770TE @ 2.30GHz,1,4,4877,1653,45,108.38,Desktop
Intel Core i7-4771 @ 3.50GHz,1,4,7137,2193,84,84.96,Desktop
Intel Core i7-4785T @ 2.20GHz,1,4,5503,1757,35,157.23,Desktop
Intel Core i7-4790 @ 3.60GHz,1,4,7270,2233,84,86.55,Desktop
Intel Core i7-4790K @ 4.00GHz,1,4,8068,2466,88,91.68,Desktop
Intel Core i7-4790S @ 3.20GHz,1,4,7011,2207,65,107.86,Desktop
Intel Core i7-4790T @ 2.70GHz,1,4,6346,2094,45,141.02,Desktop
Intel Core i7-4800MQ @ 2.70GHz,1,4,5713,1910,47,121.55,Laptop
Intel Core i7-4810MQ @ 2.80GHz,1,4,6062,2026,47,128.98,Laptop
Intel Core i7-4820K @ 3.70GHz,1,4,6492,1957,130,49.94,Desktop
Intel Core i7-4850HQ @ 2.30GHz,1,4,6133,1939,47,130.49,Laptop
Intel Core i7-4860EQ @ 1.80GHz,1,4,5500,1754,47,117.02,Laptop
Intel Core i7-4860HQ @ 2.40GHz,1,4,6242,1893,47,132.81,Laptop
Intel Core i7-4870HQ @ 2.50GHz,1,4,6310,2051,47,134.26,Laptop
Intel Core i7-4900MQ @ 2.80GHz,1,4,6117,1990,47,130.15,Laptop
Intel Core i7-4910MQ @ 2.90GHz,1,4,6241,2024,47,132.79,Laptop
Intel Core i7-4930K @ 3.40GHz,1,6,9403,1961,130,72.33,Desktop
Intel Core i7-4930MX @ 3.00GHz,1,4,6348,2060,57,111.37,Laptop
Intel Core i7-4940MX @ 3.10GHz,1,4,6846,2184,57,120.11,Laptop
Intel Core i7-4960HQ @ 2.60GHz,1,4,6344,2083,47,134.98,Laptop
Intel Core i7-4960X @ 3.60GHz,1,6,10062,2077,130,77.4,Desktop
Intel Core i7-4980HQ @ 2.80GHz,1,4,6525,2170,47,138.83,Laptop
Intel Core i7-5500U @ 2.40GHz,1,2,2784,1653,15,185.6,Laptop
Intel Core i7-5550U @ 2.00GHz,1,2,2864,1703,15,190.93,Laptop
Intel Core i7-5557U @ 3.10GHz,1,2,3092,1916,28,110.43,Laptop
Intel Core i7-5600U @ 2.60GHz,1,2,3037,1776,15,202.47,Laptop
Intel Core i7-5650U @ 2.20GHz,1,2,3011,1897,15,200.73,Laptop
Intel Core i7-5675C @ 3.10GHz,1,4,6089,2249,65,93.68,Desktop
Intel Core i7-5700EQ @ 2.60GHz,1,4,5803,2092,47,123.47,Laptop
Intel Core i7-5700HQ @ 2.70GHz,1,4,6055,2015,47,128.83,Laptop
Intel Core i7-5775C @ 3.30GHz,1,4,7693,2276,65,118.35,Desktop
Intel Core i7-5775R @ 3.30GHz,1,4,7596,2247,65,116.86,Desktop
Intel Core i7-5820K @ 3.30GHz,1,6,9842,1994,140,70.3,Desktop
Intel Core i7-5850EQ @ 2.70GHz,1,4,7036,2119,47,149.7,Laptop
Intel Core i7-5850HQ @ 2.70GHz,1,4,6866,2219,47,146.09,Laptop
Intel Core i7-5930K @ 3.50GHz,1,6,10322,2052,140,73.73,Desktop
Intel Core i7-5950HQ @ 2.90GHz,1,4,7807,2310,47,166.11,Laptop
Intel Core i7-5960X @ 3.00GHz,1,8,12741,1987,140,91.01,Desktop
Intel Core i7-610E @ 2.53GHz,1,2,2071,1420,35,59.17,Laptop
Intel Core i7-620LM @ 2.00GHz,1,2,1406,1010,25,56.24,Laptop
Intel Core i7-620M @ 2.67GHz,1,2,1979,1288,35,56.54,Laptop
Intel Core i7-620UM @ 1.07GHz,1,2,1010,820,18,56.11,Laptop
Intel Core i7-640LM @ 2.13GHz,1,2,1525,1053,25,61,Laptop
Intel Core i7-640M @ 2.80GHz,1,2,2071,1373,35,59.17,Laptop
Intel Core i7-640UM @ 1.20GHz,1,2,1183,879,18,65.72,Laptop
Intel Core i7-6498DU @ 2.50GHz,1,2,3454,1808,15,230.27,Laptop
Intel Core i7-6500U @ 2.50GHz,1,2,3274,1694,15,218.27,Laptop
Intel Core i7-6560U @ 2.20GHz,1,2,3358,1694,15,223.87,Laptop
Intel Core i7-6567U @ 3.30GHz,1,2,3676,2082,28,131.29,Laptop
Intel Core i7-6600U @ 2.60GHz,1,2,3432,1798,15,228.8,Laptop
Intel Core i7-660UM @ 1.33GHz,1,2,1284,925,18,71.33,Laptop
Intel Core i7-6650U @ 2.20GHz,1,2,3605,1807,15,240.33,Laptop
Intel Core i7-6660U @ 2.40GHz,1,2,3577,1925,15,238.47,Laptop
Intel Core i7-6700 @ 3.40GHz,1,4,8080,2290,65,124.31,Desktop
Intel Core i7-6700HQ @ 2.60GHz,1,4,6522,1911,45,144.93,Laptop
Intel Core i7-6700K @ 4.00GHz,1,4,8927,2504,95,93.97,Desktop
Intel Core i7-6700T @ 2.80GHz,1,4,7222,2073,35,206.34,Desktop
Intel Core i7-6700TE @ 2.40GHz,1,4,6135,2042,35,175.29,Desktop
Intel Core i7-6770HQ @ 2.60GHz,1,4,7087,1944,45,157.49,Laptop
Intel Core i7-6800K @ 3.40GHz,1,6,10767,2270,140,76.91,Desktop
Intel Core i7-680UM @ 1.47GHz,1,2,1196,911,18,66.44,Laptop
Intel Core i7-6820EQ @ 2.80GHz,1,4,7001,1997,45,155.58,Laptop
Intel Core i7-6820HK @ 2.70GHz,1,4,7053,1990,45,156.73,Laptop
Intel Core i7-6820HQ @ 2.70GHz,1,4,6822,1953,45,151.6,Laptop
Intel Core i7-6822EQ @ 2.00GHz,1,4,5241,1572,25,209.64,Laptop
Intel Core i7-6850K @ 3.60GHz,1,6,11468,2404,140,81.91,Desktop
Intel Core i7-6900K @ 3.20GHz,1,8,14476,2329,140,103.4,Desktop
Intel Core i7-6920HQ @ 2.90GHz,1,4,7351,2101,45,163.36,Laptop
Intel Core i7-6950X @ 3.00GHz,1,10,17391,2338,140,124.22,Desktop
Intel Core i7-6970HQ @ 2.80GHz,1,4,4632,1532,45,102.93,Laptop
Intel Core i7-720QM @ 1.60GHz,1,4,1652,923,45,36.71,Laptop
Intel Core i7-740QM @ 1.73GHz,1,4,1824,1012,45,40.53,Laptop
Intel Core i7-7500U @ 2.70GHz,1,2,3645,1922,15,243,Laptop
Intel Core i7-7560U @ 2.40GHz,1,2,3780,1980,15,252,Laptop
Intel Core i7-7567U @ 3.50GHz,1,2,4073,2194,28,145.46,Laptop
Intel Core i7-7600U @ 2.80GHz,1,2,3706,2022,15,247.07,Laptop
Intel Core i7-7660U @ 2.50GHz,1,2,4072,2153,15,271.47,Laptop
Intel Core i7-7700 @ 3.60GHz,1,4,8647,2454,65,133.03,Desktop
Intel Core i7-7700HQ @ 2.80GHz,1,4,6908,2057,45,153.51,Laptop
Intel Core i7-7700K @ 4.20GHz,1,4,9648,2719,95,101.56,Desktop
Intel Core i7-7700T @ 2.90GHz,1,4,7597,2147,35,217.06,Desktop
Intel Core i7-7740X @ 4.30GHz,1,4,9596,2687,112,85.68,Desktop
Intel Core i7-7800X @ 3.50GHz,1,6,12882,2394,140,92.01,Desktop
Intel Core i7-7820EQ @ 3.00GHz,1,4,7542,2173,45,167.6,Laptop
Intel Core i7-7820HK @ 2.90GHz,1,4,7387,2117,45,164.16,Laptop
Intel Core i7-7820HQ @ 2.90GHz,1,4,7168,2123,45,159.29,Laptop
Intel Core i7-7820X @ 3.60GHz,1,8,17150,2522,140,122.5,Desktop
Intel Core i7-7900X @ 3.30GHz,1,10,21008,2455,140,150.06,Desktop
Intel Core i7-7920HQ @ 3.10GHz,1,4,7380,2230,45,164,Laptop
Intel Core i7-7Y75 @ 1.30GHz,1,2,2637,1583,4.5,586,"Desktop, Laptop"
Intel Core i7-8086K @ 4.00GHz,1,6,14278,2850,95,150.29,Desktop
Intel Core i7-820QM @ 1.73GHz,1,4,1774,1022,45,39.42,Laptop
Intel Core i7-840QM @ 1.87GHz,1,4,1945,1132,45,43.22,Laptop
Intel Core i7-8500Y @ 1.50GHz,1,2,2474,1448,5,494.8,Laptop
Intel Core i7-8550U @ 1.80GHz,1,4,5905,2049,15,393.67,Laptop
Intel Core i7-8557U @ 1.70GHz,1,4,7444,2376,15,496.27,Laptop
Intel Core i7-8559U @ 2.70GHz,1,4,8384,2525,28,299.43,Laptop
Intel Core i7-8565U @ 1.80GHz,1,4,6067,2147,15,404.47,Laptop
Intel Core i7-8565UC @ 1.80GHz,1,4,6187,2527,15,412.47,Laptop
Intel Core i7-8569U @ 2.80GHz,1,4,8230,2599,28,293.93,Laptop
Intel Core i7-860 @ 2.80GHz,1,4,2993,1329,95,31.51,Desktop
Intel Core i7-860S @ 2.53GHz,1,4,2280,1093,82,27.8,Desktop
Intel Core i7-8650U @ 1.90GHz,1,4,6271,2130,15,418.07,Laptop
Intel Core i7-8665U @ 1.90GHz,1,4,6250,2186,15,416.67,Laptop
Intel Core i7-8665UE @ 1.70GHz,1,4,5170,1621,15,344.67,Laptop
Intel Core i7-870 @ 2.93GHz,1,4,3129,1382,95,32.94,Desktop
Intel Core i7-8700 @ 3.20GHz,1,6,12844,2641,65,197.6,Desktop
Intel Core i7-8700B @ 3.20GHz,1,6,11917,2735,65,183.34,Laptop
Intel Core i7-8700K @ 3.70GHz,1,6,13629,2727,95,143.46,Desktop
Intel Core i7-8700T @ 2.40GHz,1,6,10171,2301,35,290.6,Desktop
Intel Core i7-8705G @ 3.10GHz,1,4,7669,2212,65,117.98,Laptop
Intel Core i7-8706G @ 3.10GHz,1,4,7287,2322,65,112.11,Laptop
Intel Core i7-8709G @ 3.10GHz,1,4,7947,2313,100,79.47,Laptop
Intel Core i7-870S @ 2.67GHz,1,4,2765,1493,82,33.72,Desktop
Intel Core i7-8750H @ 2.20GHz,1,6,9888,2305,45,219.73,Laptop
Intel Core i7-875K @ 2.93GHz,1,4,3090,1352,95,32.53,Desktop
Intel Core i7-880 @ 3.07GHz,1,4,3319,1442,95,34.94,Desktop
Intel Core i7-8809G @ 3.10GHz,1,4,8549,2386,100,85.49,Laptop
Intel Core i7-8850H @ 2.60GHz,1,6,10212,2385,45,226.93,Laptop
Intel Core i7-920 @ 2.67GHz,1,4,2839,1217,130,21.84,Desktop
Intel Core i7-920XM @ 2.00GHz,1,4,1950,1022,55,35.45,Laptop
Intel Core i7-930 @ 2.80GHz,1,4,2962,1270,130,22.78,Desktop
Intel Core i7-940 @ 2.93GHz,1,4,2947,1310,130,22.67,Desktop
Intel Core i7-940XM @ 2.13GHz,1,4,2187,1122,55,39.76,Laptop
Intel Core i7-950 @ 3.07GHz,1,4,3212,1378,130,24.71,Desktop
Intel Core i7-960 @ 3.20GHz,1,4,3347,1458,130,25.75,Desktop
Intel Core i7-965 @ 3.20GHz,1,4,3424,1475,130,26.34,Desktop
Intel Core i7-970 @ 3.20GHz,1,6,6546,1467,130,50.35,Desktop
Intel Core i7-9700 @ 3.00GHz,1,8,13171,2745,65,202.63,Desktop
Intel Core i7-9700E @ 2.60GHz,1,8,12600,2559,65,193.85,Desktop
Intel Core i7-9700F @ 3.00GHz,1,8,13251,2753,65,203.86,Desktop
Intel Core i7-9700K @ 3.60GHz,1,8,14459,2876,95,152.2,Desktop
Intel Core i7-9700KF @ 3.60GHz,1,8,14259,2876,95,150.09,Desktop
Intel Core i7-9700T @ 2.00GHz,1,8,10782,2434,35,308.06,Desktop
Intel Core i7-9700TE @ 1.80GHz,1,8,10203,2214,35,291.51,"Desktop, Laptop"
Intel Core i7-975 @ 3.33GHz,1,4,3493,1499,130,26.87,Desktop
Intel Core i7-9750H @ 2.60GHz,1,6,10820,2424,45,240.44,Laptop
Intel Core i7-9750HF @ 2.60GHz,1,6,10608,2428,45,235.73,Laptop
Intel Core i7-980 @ 3.33GHz,1,6,6930,1539,130,53.31,Desktop
